Cluster	RA	DEC	l	b	Rsun	ERsun	R_GC	<RV>	ERV	mualpha	Emualpha	mu_delta	Emu_delta	rhopmrade	X	DX	Y	DY	Z	DZ	U	DU	V	DV	W	DW	RPERI	ERPERI	RAPO	ERAPO
	Name	[kpc]	[kpc]	[km/s]	[km/s]	[mas/yr]	[mas/yr]	[kpc]	[kpc]	[kpc]	[kpc]	[kpc]	[kpc]	[km/s]	[km/s]	[km/s]	[km/s]	[km/s]	[km/s]	[kpc]	[kpc]
NGC_6229	251.745249	47.527796	73.639	40.306	30.11	0.47	29.45	-137.89	0.71	-1.170	0.026	-0.466	0.027	0.01	1.71	0.10	22.03	0.34	19.47	0.30	-7.79	3.74	29.28	2.63	47.39	2.90	1.58	0.27	30.37	0.44
NGC_6218	251.809067	-1.948528	15.715	26.313	5.11	0.05	4.57	-41.67	0.14	-0.191	0.024	-6.803	0.024	0.01	3.77	0.04	1.24	0.01	2.26	0.02	-49.05	0.32	114.81	0.57	-85.35	0.53	2.16	0.03	4.71	0.01
FSR_1735	253.044174	-47.058056	339.188	-1.853	9.08	0.53	3.25	-69.85	4.88	-4.440	0.054	-1.531	0.048	-0.06	-0.31	0.49	-3.23	0.19	-0.29	0.02	112.17	4.60	114.78	2.66	115.30	2.23	1.14	0.14	4.09	0.38
NGC_6235	253.355676	-22.177447	358.918	13.518	11.94	0.38	4.42	126.68	0.33	-3.931	0.027	-7.587	0.026	0.00	-3.43	0.37	-0.22	0.01	2.79	0.09	-144.48	0.48	-226.85	1.51	-43.14	1.48	3.50	0.39	7.48	1.13
NGC_6254	254.287720	-4.100306	15.137	23.076	5.07	0.06	4.35	74.21	0.23	-4.758	0.024	-6.597	0.024	-0.01	3.68	0.06	1.22	0.02	1.99	0.03	-122.78	0.33	80.53	0.56	48.78	0.53	1.91	0.02	4.59	0.04
NGC_6256	254.886107	-37.120968	347.792	3.307	7.24	0.29	1.94	-99.75	0.66	-3.714	0.031	-1.636	0.030	0.00	1.11	0.29	-1.53	0.06	0.42	0.02	115.92	0.68	154.03	1.04	67.15	1.05	1.39	0.26	2.19	0.04
Pal_15	254.962600	-0.539000	18.849	24.337	44.10	1.14	37.28	72.27	1.74	-0.593	0.037	-0.901	0.034	0.03	-29.85	0.98	12.98	0.33	18.17	0.47	-141.52	3.94	58.87	7.02	47.84	6.86	2.00	0.60	49.76	1.61
NGC_6266	255.304153	-30.113390	353.575	7.318	6.41	0.10	2.15	-73.98	0.67	-4.977	0.026	-2.950	0.026	0.00	1.86	0.10	-0.71	0.01	0.82	0.01	88.41	0.67	99.41	0.80	63.29	0.80	0.86	0.06	2.42	0.06
NGC_6273	255.657486	-26.267971	356.869	9.382	8.34	0.16	1.43	145.54	0.59	-3.249	0.025	1.661	0.026	0.00	-0.04	0.16	-0.45	0.01	1.36	0.03	-130.01	0.60	221.71	1.01	171.37	1.00	1.21	0.04	3.28	0.10
NGC_6284	256.120114	-24.764799	358.347	9.939	14.21	0.42	6.32	28.62	0.73	-3.201	0.029	-2.002	0.028	0.02	-5.81	0.41	-0.40	0.01	2.45	0.07	-16.20	0.79	15.85	1.89	105.09	1.89	1.02	0.06	6.44	0.42
NGC_6287	256.288904	-22.708005	0.132	11.023	7.93	0.37	1.57	-294.74	1.65	-5.012	0.029	-1.883	0.028	0.00	0.40	0.36	0.02	0.00	1.52	0.07	299.11	1.63	83.89	1.07	60.19	1.11	0.90	0.06	4.16	0.13
NGC_6293	257.542500	-26.582083	357.620	7.834	9.19	0.28	1.60	-143.66	0.39	0.871	0.028	-4.325	0.028	-0.01	-0.92	0.28	-0.38	0.01	1.25	0.04	117.36	0.43	126.54	1.22	-151.80	1.21	0.46	0.13	2.75	0.36
NGC_6304	258.634399	-29.462028	355.826	5.376	6.15	0.15	2.19	-108.62	0.39	-4.069	0.029	-1.089	0.028	-0.01	2.07	0.15	-0.45	0.01	0.58	0.01	110.96	0.40	166.28	0.83	75.08	0.83	1.55	0.11	2.69	0.12
